WKT,id,Name,Info,Start_map,End_map,Open_date,Close_date
"MULTILINESTRING ((2.26001002341884 48.8840598697843,2.27179924493941 48.8805231033281,2.28387568716049 48.8767172724153))","1","1",,"1950","1950",,
"MULTILINESTRING ((2.27819076149054 48.8964979933008,2.28340663349282 48.890466230706,2.28643708426509 48.8876397525819,2.28825289758334 48.8859563967246,2.29198772890263 48.8854558323277))","3","3",,"1950","1950",,
"MULTILINESTRING ((2.39786694187033 48.8651645690454,2.40134653253863 48.868830560529,2.40426042751197 48.8719484281505,2.40618359819437 48.8764649653592))","3","3",Extension Est,"1950","1950",,
"MULTILINESTRING ((2.33972631906218 48.8600027850613,2.34158254663549 48.858340538625,2.34665272388909 48.8570875637865,2.350889544097 48.85571448065,2.35350367582547 48.8544843010131,2.35714274579311 48.8531538055725,2.36119305980604 48.8513763296387,2.36257625064783 48.8502299297687,2.36365265783014 48.8492560375562,2.3585781668278 48.8458217860697,2.35760427461524 48.8456680136151,2.35676393944657 48.8454902617926,2.3543750530683 48.8455142411605,2.35309361594649 48.8450529237967,2.35218912433843 48.8437710637583,2.35218912433843 48.8437710637583,2.35186859589137 48.840857168785,2.35037696924828 48.8384407082482,2.3519851516903 48.8358744083806,2.35484076876417 48.8322320396639,2.35688049524551 48.8256757759739,2.35749241318991 48.8220042683075,2.35878319676729 48.8189628639968,2.35996922391724 48.8183327606411,2.36439834427672 48.8192360680828,2.36874004778699 48.8208969882176,2.37369912486506 48.8187065765724,2.374859227231 48.8176042868978))","7","7",,"1950","1950",,
"MULTILINESTRING ((2.30623700060891 48.8277737803547,2.31323034854492 48.8310664816746,2.31873761004452 48.8340095155976,2.32356930466019 48.8365441813079,2.32284620195693 48.8385843307058,2.32172403520479 48.8406960375825,2.32127269867133 48.8430717289647,2.32013505317376 48.8458217860697,2.31746966396041 48.846898193252,2.31678530041239 48.8474425714247,2.3151118196563 48.8505887321628,2.31509524132785 48.8519299696837,2.31564888137279 48.8560094226463,2.31567565198989 48.8572009477113,2.31459924480758 48.8586874147726,2.31483299078025 48.8607007935534))","14","14",,"1950","1950",,
"MULTILINESTRING ((2.36396126003071 48.8431300068642,2.36447277758809 48.8437714866749,2.36437026261835 48.8443865764933,2.36329385543603 48.8450529237967,2.36011589137397 48.8472569956462,2.35985960394961 48.847308253131,2.35760427461524 48.8456680136151,2.35661824469791 48.8460147628878,2.35227654118763 48.8462770134354,2.35068451415751 48.8471544806764,2.3489255619683 48.8498902432023,2.34443816370936 48.8509683843425,2.33945540330495 48.8523379149799,2.33643493336308 48.8527415465275,2.33537595034228 48.852221359181,2.33407708905896 48.8519214267695,2.33182175972459 48.8523314866485,2.33080113523414 48.8519299696837,2.3270130717688 48.8510849401414,2.32063164177719 48.8484041567659,2.31617338246799 48.8466849587317,2.31203637056398 48.8452579537361,2.31137002326064 48.845309211221,2.31075493344217 48.8455654986454,2.30597475006131 48.8485789904643,2.30193864604418 48.8510500495267,2.30106726880136 48.8513575944359,2.3002471490434 48.8512550794662,2.29674980035964 48.8494867488846,2.29409059484232 48.8473772115469,2.28627639315456 48.8473029320632,2.27852161505377 48.8472732202697,2.27774312988024 48.8470833742202,2.27705296021516 48.8470402386161,2.27377465430602 48.8485931203626,2.27269626420433 48.8484637135504,2.27090026491449 48.8479722727443,2.26695922886332 48.8468245605958,2.2662952120328 48.8467384079869,2.2608067147359 48.8469297464347,2.25496753093251 48.8471696454283,2.25419109005929 48.8472990522405,2.2544499036837 48.8484205779463,2.25561456499352 48.849498968048,2.25957463818828 48.8493465119705,2.26368057420572 48.8492193427432,2.26575143194943 48.8488950695911,2.26786507654874 48.8488087983829,2.2685983818179 48.8485931203626,2.26938523855572 48.8483131330418,2.27090026491449 48.8479722727443))","10","10",,"1950","1950",,
"MULTILINESTRING ((2.24721605792397 48.8356267273079,2.25442295756778 48.8372105286112,2.25560187971984 48.8377743609448,2.25642396603971 48.8391816791753,2.25881335991785 48.8425326583947,2.26079480849972 48.8456505260161,2.26251400653399 48.8483604483413,2.26436690963296 48.8487947201923,2.265955891664 48.8499223848595,2.26711796059186 48.8522650676056,2.26892457547533 48.8553246573276,2.27411130852787 48.8580928575523,2.27451589163763 48.8602763968037,2.27538726888045 48.8622754387137,2.27775367724454 48.8640954811974,2.28553625088512 48.8635056183506,2.28764818454484 48.8641838629664,2.29322645955296 48.8643285927952,2.2998992790419 48.8649113717899,2.30157984365008 48.8647870554724,2.30849526921325 48.8684371847076,2.30952475380525 48.8694514865958,2.30928202085605 48.87254577662,2.31188259810936 48.8735008279006,2.31554689504872 48.8739444462072,2.31981843932044 48.8744812430553,2.32157865764353 48.874410669403,2.32547408697435 48.874028791243,2.32863028347901 48.873857029358,2.33442893447595 48.8728080271676,2.33990705702582 48.8719629976254,2.34360770364196 48.8714093575804,2.34847390824743 48.8705643280382,2.35441825399304 48.8693696310991,2.35820631745837 48.8690199637023,2.36281027151625 48.8677669888638,2.37035725949719 48.8639497864487,2.37531088095186 48.8605405293299,2.38008966870814 48.8577140512058,2.38568434705694 48.8545961835843,2.38880221467841 48.8527312908014,2.39447298835197 48.8494832804251,2.39623264686042 48.8491471999842,2.39865816761586 48.8503316275731,2.4010114346167 48.8515948717618,2.40648955716657 48.8526730129019,2.41222993026404 48.8535180424442))","9","9",,"1950","1950",,
"MULTILINESTRING ((2.40793193517837 48.8261128602199,2.39944995828741 48.831328651456,2.39894094999855 48.8316114338387,2.39977302925303 48.8320280670158,2.40533183184747 48.8339868058534,2.40662068244037 48.8349711009389,2.40719819557325 48.8355703871965,2.4042895664617 48.8366320210737,2.39679180389007 48.8390768887419,2.39581013208929 48.8398081665946,2.39024459269022 48.8446452322503,2.38703930821954 48.8476174051231,2.38519772619957 48.8497660628078,2.38431481641947 48.8501670632248,2.37519432515293 48.8511577875157,2.36901686780946 48.8536637371928,2.36811767028478 48.8548561456963,2.36767647612172 48.8567816048143,2.36744336452385 48.8603365566818,2.36607383388638 48.8631921737556,2.36421527340359 48.8661108845275,2.36308414387281 48.866789562246,2.36196524197398 48.8675921551654,2.35774009426264 48.8684080457579,2.3541268644957 48.8690782416018,2.34829907454903 48.8700981048424,2.34340373099382 48.8709722733344,2.33989809971059 48.8717547010664,2.33452312322059 48.8707485156037,2.33341977870728 48.8700526993354))","8","8",,"1950","1950",,
"MULTILINESTRING ((2.28808343492502 48.8324651512618,2.2942549119248 48.8361925084384,2.2966211471969 48.8371856611186,2.30215754764624 48.8394876381475,2.30769394809558 48.8411485582823,2.31302637589678 48.8427512005177,2.31803827525092 48.8442955648535,2.32128890771046 48.8448456493488,2.32278792405746 48.8445578154011,2.32739700717667 48.8430923985761,2.3295481603956 48.8444995375017,2.32826604660734 48.8498028263531,2.32774154551214 48.8516968580858,2.32672168227147 48.8551061152046,2.32310845250453 48.8591272902678,2.32115614287239 48.8610213220005,2.32055367351545 48.8619257052636,2.32392434309706 48.8664411666509,2.32490852220896 48.8679206917768,2.32558719992742 48.869730499026,2.32564375640396 48.8709747415099,2.3272838942236 48.873293557048,2.32707134966827 48.8755616579174,2.33045105690978 48.876234493828,2.33243291641921 48.8762027148116,2.33852295691348 48.8759113253142,2.33944353667949 48.8760082679219,2.33944353667949 48.8768566150699,2.33732825997441 48.8786503865892,2.33797306828947 48.8798541083265,2.3378599553364 48.88126802024,2.33767792737122 48.8822927553058,2.33763372943024 48.8835868357781,2.33820242846642 48.8847112881337,2.33852295691348 48.8894609369403,2.33893452839064 48.8912219601109,2.34147956983489 48.8926358720243,2.34261069936567 48.8926924285009,2.34397194051362 48.8924913877125,2.35131495584643 48.8911218570751,2.3564104796412 48.8903170564862,2.36066855871084 48.8904225222815,2.35935730597284 48.8977363986645))","12","12",,"1950","1950",,
"MULTILINESTRING ((2.27594706236107 48.8361220894533,2.2767224041977 48.8368146296803,2.28171657440828 48.8383075106834,2.28622389225626 48.8396424535073,2.28731125275709 48.8403763761144,2.29206090156363 48.8425617973444,2.29439201754229 48.8448637743734,2.29713929222829 48.8478431426054,2.2987628600023 48.8492346168334,2.30070235025025 48.8506709664324,2.30106726880136 48.8513575944359,2.30168195807891 48.8525322077173,2.30168195807891 48.8525322077173))","8","8",Ramification Sud-Ouest,"1950","1950",,
"MULTILINESTRING ((2.31416279493639 48.8940066130987,2.32007800173226 48.8905099391307,2.32578923588 48.8873629325595,2.3271879054672 48.8920834424163,2.3286739919036 48.8970370638709,2.3271879054672 48.8920834424163,2.3271879054672 48.8920834424163,2.32578923588 48.8873629325595,2.3277124065624 48.8834874522449,2.3273627391656 48.8792914434833,2.32722733774706 48.8765738326872,2.32578923588 48.8755325189677))","13","13",,"1950","1950",,
